rnaID,geneID,ENTREZ
rna2387,gene1001,406132
rna19962,gene8662,406133
rna19963,gene8662,406133
rna22554,gene9782,406134
rna22555,gene9783,406135
rna8771,gene3707,406139
rna27766,gene12117,406140
rna23546,gene10208,406141
rna11474,gene4913,406142
rna12005,gene5176,406143
rna19605,gene8507,406144
rna9610,gene4063,406145
rna9611,gene4063,406145
rna25293,gene10974,406146
rna25294,gene10974,406146
rna26070,gene11286,406147
rna26071,gene11286,406147
rna24421,gene10576,406148
rna24422,gene10576,406148
rna24423,gene10576,406148
rna24424,gene10576,406148
rna19964,gene8663,406149
rna24043,gene10413,406150
rna24044,gene10413,406150
rna24045,gene10413,406150
rna24046,gene10413,406150
rna24042,gene10413,406150
rna24041,gene10413,406150
rna24040,gene10413,406150
